NIVEL,CIFRAS AL DIA:,31-ene-19,28-feb-19,31-mar-19,30-abr-19,31-may-19,30-jun-19,31-jul-19,31-ago-19,30-sep-19,31-oct-19,30-nov-19,31-dic-19,31-ene-20,29-feb-20,31-mar-20,30-abr-20,31-may-20,30-jun-20,31-jul-20,31-ago-20,30-sep-20,31-oct-20,30-nov-20,31-dic-20,31-ene-21,28-feb-21,31-mar-21,30-abr-21,31-may-21,30-jun-21,31-jul-21,31-ago-21,30-sep-21,31-oct-21,30-nov-21,31-dic-21,31-ene-22,28-feb-22,31-mar-22,30-abr-22,31-may-22,30-jun-22,31-jul-22,31-ago-22,30-sep-22,31-oct-22,30-nov-22,31-dic-22
1,A C T I V O,363056377.37,369387690,371677438.91,374074475.97,380144276.25,385252333.32,389065493.94,392573186.7,396442005.37,399843611.15,402505428.4,406451180.98,408855245.87,413280289.86,416009273.87,418939996.27,426327099.19,438761185.04,443712735.05,447824235.69,450474609.84,452710719.73,453804866.65,459296046.58,462745117.59,466736974.71,477048822.88,487226506.34,494073413.55,502787531.17,509239356.08,514663708.91,519109239.08,524380891.8,525279149.69,533352864.18,540841605.71,548755007.94,552088089.12,555550323.46,563361711.46,569092729.37,572200104.57,575292388.83,577768250.94,584313774.74,586245321.1,592254906.65
2,DISPONIBILIDADES,9290942.63,8236222.55,6777203.46,5990760.7,7495216.66,8558801.76,7094826.89,8519041.42,6831014.55,9133546.2,6417383.44,8478338.97,7961122.54,7072464.06,10683638.88,9785335.11,10243405.17,9733196.44,7862864.72,10690733.99,9270426.86,11552473.06,7639464.52,11916933.72,10769927.51,11318707.15,11267402.33,10573370,17034654.39,9695001.3,11786291.78,11369604.07,11130474.01,14917558.35,8630113.4,14114985.08,19284922.6,17485245.03,15881552.84,14613610.02,17758732.17,13477040.16,12471347.54,14368574.58,13389976,14062901.14,12147588.8,18181309.43
3,CAJA,1345006.6,1626034.88,2512557.44,1577735.53,2396693.53,2643622.59,1947982.95,2458070.69,2873409.25,1584994.93,2580083.11,2042940.78,1790546.89,2628197.76,1620365.16,1630633.95,4089140.46,2303277.32,2392819.3,3395119.8,1521055.48,3569896.91,3138826.57,2863015.68,3915480.66,4406959.24,3087165.28,4541963,4335480.81,3527458.24,4385499.69,3171993.17,4350766.5,5771617.11,2462610.79,4310467.61,3855247.07,4479479.69,4037554.87,4760036.61,4296117.91,4645427.15,5731746.49,3847856.25,5548230.25,5917873.25,3894348.25,5969385.29
3,BANCOS,7945936.03,6610187.67,4264646.02,4413025.17,5098523.13,5915179.17,5146843.94,6060970.73,3957605.3,7548551.27,3837300.33,6435398.19,6170575.65,4444266.3,9063273.72,8154701.16,6154264.71,7429919.12,5470045.42,7295614.19,7749371.38,7982576.15,4500637.95,9053918.04,6854446.85,6911747.91,8180237.05,6031407,12699173.58,6167543.06,7400792.09,8197610.9,6779707.51,9145941.24,6167502.61,9804517.47,15429675.53,13005765.34,11843997.97,9853573.41,13462614.26,8831613.01,6739601.05,10520718.33,7841745.75,8145027.89,8253240.55,12211924.14
4,     DEPÓSITOS EN OTRAS ENTIDADES FINANCIERAS,7945936.03,6610187.67,4264646.02,4413025.17,5098523.13,5915179.17,5146843.94,6060970.73,3957605.3,7548551.27,3837300.33,6435398.19,6170575.65,4444266.3,9063273.72,8154701.16,6154264.71,7429919.12,5470045.42,7295614.19,7749371.38,7982576.15,4500637.95,9053918.04,6854446.85,6911747.91,8180237.05,6031407,12699173.58,6167543.06,7400792.09,8197610.9,6779707.51,9145941.24,6167502.61,9804517.47,15429675.53,13005765.34,11843997.97,9853573.41,13462614.26,8831613.01,6739601.05,10520718.33,7841745.75,8145027.89,8253240.55,12211924.14
4,     DIVISAS A ENTREGAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,OTRAS DISPONIBILIDADES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,     DOCUMENTOS DE COBRO INMEDIATO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,     OTRAS DISPONIBILIDADES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,DISPONIBILIDADES RESTRINGIDAS O DADAS EN GARANTÍA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,     DIVISAS A RECIBIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,     OTRAS DISPONIBILIDADES RESTRINGIDAS O DADAS EN GARANTÍA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
